Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,Usage_per_Tenure,Spend_per_Tenure,Support_per_Tenure,Support_x_Delay,Age_x_Tenure,Inactivity_Score,Age_Group,Customer_Value
21,Female,23,16.0,4.0,27,Basic,Monthly,651.0,10.0,1,0.6956521436672981,28.30434659546319,0.17391303591682453,108.0,483,0.6206896682520804,Gen Z,619.0
40,Female,29,29.0,7.0,11,Standard,Monthly,548.0,13.0,1,0.9999999655172426,18.89655107253272,0.24137930202140337,77.0,1160,0.1793103731272285,Millennials,712.0
46,Male,26,5.0,2.0,30,Premium,Annual,773.0,20.0,0,0.1923076849112429,29.73076808727815,0.07692307396449716,60.0,1196,0.5379310504161707,Gen X,698.5
36,Male,5,8.0,5.0,18,Premium,Quarterly,239.0,18.0,0,1.599999680000064,47.79999044000191,0.99999980000004,90.0,180,0.5379310504161707,Millennials,266.0
51,Female,57,25.0,9.0,2,Standard,Annual,575.0,17.0,0,0.43859648353339503,10.087719121268085,0.1578947340720222,18.0,2907,0.2896551969084415,Gen X,966.5
29,Male,40,12.0,10.0,8,Premium,Monthly,466.0,30.0,0,0.2999999925000002,11.649999708750007,0.24999999375000018,80.0,1160,0.344827608799048,Millennials,730.0
44,Female,37,16.0,8.0,27,Basic,Quarterly,539.0,14.0,1,0.4324324207450697,14.567567173849536,0.21621621037253486,216.0,1628,0.5310344989298449,Gen X,732.0
56,Female,35,12.0,1.0,19,Standard,Monthly,317.0,17.0,0,0.3428571330612248,9.057142598367355,0.028571427755102068,19.0,1960,0.5862069108204514,Gen X,576.5
38,Male,23,5.0,10.0,9,Basic,Monthly,729.0,4.0,0,0.21739129489603065,31.695650795841267,0.4347825897920613,90.0,874,0.820689661355529,Millennials,568.5
64,Male,7,2.0,0.0,24,Basic,Annual,1000.0,10.0,0,0.285714244897965,142.8571224489825,0.0,0.0,448,0.8137931098692031,Boomers,597.5
46,Female,42,27.0,9.0,24,Standard,Annual,502.0,2.0,1,0.6428571275510208,11.952380667800462,0.2142857091836736,216.0,1932,0.4344827781212835,Gen X,818.0
57,Male,14,21.0,5.0,11,Basic,Quarterly,206.0,1.0,0,1.4999998928571505,14.714284663265381,0.3571428316326549,55.0,798,0.5448276019024966,Gen X,338.5
33,Male,2,7.0,1.0,25,Premium,Quarterly,726.0,24.0,0,3.499998250000875,362.9998185000907,0.499999750000125,25.0,66,0.5586207048751481,Millennials,434.0
43,Male,45,26.0,5.0,10,Premium,Quarterly,388.0,30.0,0,0.5777777649382719,8.622222030617289,0.11111110864197538,50.0,1935,0.0620689978596897,Gen X,814.0
58,Male,21,16.0,2.0,14,Premium,Quarterly,650.0,14.0,0,0.7619047256235845,30.95237947845812,0.09523809070294806,28.0,1218,0.4758620870392384,Gen X,626.5
32,Female,2,4.0,7.0,2,Basic,Monthly,651.0,27.0,1,1.9999990000005,325.4998372500813,3.499998250000875,14.0,64,0.6275862197384062,Millennials,363.5
27,Male,56,7.0,6.0,4,Basic,Monthly,692.0,22.0,0,0.12499999776785718,12.357142636479596,0.10714285522959188,24.0,1512,0.6689655286563612,Millennials,873.0
45,Male,4,30.0,4.0,25,Basic,Annual,100.0,18.0,0,7.499998125000468,24.99999375000156,0.9999997500000625,100.0,180,0.1655172701545769,Gen X,303.5
64,Female,41,1.0,2.0,9,Premium,Annual,401.0,20.0,0,0.024390243307555043,9.780487566329573,0.048780486615110086,18.0,2624,0.7034482860879901,Boomers,608.0
62,Male,37,17.0,3.0,14,Premium,Quarterly,225.0,22.0,0,0.4594594470416366,6.081080916727543,0.08108107888970058,42.0,2294,0.3103448513674189,Boomers,586.0
47,Male,31,5.0,1.0,17,Premium,Monthly,859.0,13.0,0,0.1612903173777317,27.709676525494306,0.032258063475546335,17.0,1457,0.7103448375743159,Gen X,777.5
34,Female,60,4.0,0.0,2,Premium,Quarterly,487.0,28.0,0,0.06666666555555557,8.11666653138889,0.0,0.0,2040,0.5931034623067771,Millennials,831.5
53,Male,52,26.0,1.0,15,Standard,Quarterly,403.0,5.0,0,0.49999999038461557,7.749999850961542,0.019230768860946754,15.0,2756,0.4137931236623061,Gen X,864.5
39,Female,53,21.0,4.0,1,Basic,Monthly,382.0,,0,0.3962264076183697,7.207547033819868,0.07547169668921327,4.0,2067,0.2758620939357898,Millennials,826.5
65,Male,55,7.0,4.0,10,Basic,Annual,451.0,14.0,0,0.12727272495867772,8.199999850909094,0.0727272714049587,40.0,3575,0.7241379405469676,Boomers,855.0
65,Female,60,6.0,3.0,30,Premium,Annual,159.0,2.0,1,0.09999999833333337,2.649999955833334,0.049999999166666684,90.0,3900,0.8758620732461354,Boomers,698.0
54,Female,60,20.0,7.0,6,Basic,Quarterly,708.0,2.0,0,0.3333333277777779,11.799999803333337,0.11666666472222226,42.0,3240,0.6068965652794288,Gen X,977.5
40,Female,55,6.0,7.0,0,Premium,Annual,742.0,20.0,0,0.10909090710743806,13.49090884561984,0.12727272495867772,0.0,2200,0.6137931167657545,Millennials,983.0
27,Female,45,9.0,5.0,9,Premium,Annual,668.0,30.0,0,0.19999999555555567,14.84444411456791,0.11111110864197538,45.0,1215,0.3931034692033286,Millennials,804.0
44,Female,45,4.0,8.0,15,Basic,Quarterly,752.0,30.0,1,0.0888888869135803,16.711110739753096,0.1777777738271606,120.0,1980,0.5172413959571932,Gen X,871.0
28,Female,23,14.0,7.0,1,Basic,Annual,860.0,2.0,0,0.6086956257088858,37.391302722117274,0.3043478128544429,7.0,644,0.8275862128418547,Millennials,676.0
34,Male,24,4.0,1.0,1,Basic,Annual,195.0,15.0,0,0.1666666597222225,8.124999661458347,0.041666664930555625,1.0,816,0.7655172494649225,Millennials,353.0
19,Male,4,10.0,0.0,5,Standard,Annual,620.0,8.0,0,2.499999375000156,154.99996125000968,0.0,0.0,76,0.8344827643281805,Gen Z,350.5
30,Female,40,8.0,1.0,12,Premium,Monthly,920.0,12.0,0,0.19999999500000012,22.999999425000016,0.024999999375000016,12.0,1200,0.7034482860879901,Millennials,921.5
32,Female,30,5.0,2.0,30,Standard,Quarterly,316.0,7.0,0,0.16666666111111128,10.533332982222234,0.06666666444444451,60.0,960,0.8275862128418547,Millennials,504.5
47,Male,25,9.0,4.0,17,Standard,Monthly,573.0,3.0,0,0.35999998560000057,22.919999083200036,0.15999999360000025,68.0,1175,0.8137931098692032,Gen X,596.5
59,Male,42,16.0,2.0,4,Basic,Quarterly,668.0,30.0,0,0.3809523718820864,15.904761526077108,0.0476190464852608,8.0,2478,0.2689655424494641,Boomers,843.0
56,Female,24,15.0,8.0,25,Standard,Monthly,431.0,7.0,1,0.6249999739583344,17.958332585069474,0.333333319444445,200.0,1344,0.6413793227110579,Gen X,537.0
26,Female,39,21.0,3.0,22,Premium,Annual,475.0,3.0,0,0.5384615246548328,12.179486867192646,0.0769230749506904,66.0,1014,0.5862069108204514,Gen Z,802.5
43,Male,55,13.0,9.0,11,Basic,Monthly,858.0,16.0,1,0.2363636320661158,15.599999716363643,0.16363636066115708,99.0,2365,0.5931034623067772,Gen X,970.0
27,Female,28,24.0,,16,Basic,Quarterly,980.0,26.0,1,0.8571428265306134,34.999998750000046,,,756,0.200000027586206,Millennials,895.0
36,Male,41,26.0,5.0,0,Premium,Quarterly,366.0,3.0,0,0.6341463259964311,8.926829050565146,0.12195121653777521,0.0,1476,0.4827586385255642,Millennials,772.5
62,Male,17,5.0,6.0,0,Premium,Monthly,922.0,1.0,1,0.2941176297577865,54.235290927335825,0.35294115570934376,0.0,1054,0.9379310366230678,Boomers,639.5
57,Male,1,23.0,5.0,13,Premium,Monthly,751.0,6.0,0,22.999977000023,750.9992490007511,4.999995000005001,65.0,57,0.4413793296076093,Gen X,535.5
57,Male,7,15.0,0.0,27,Premium,Monthly,523.0,16.0,0,2.1428568367347376,74.71427504081785,0.0,0.0,399,0.4689655355529125,Gen X,470.0
40,Female,16,16.0,7.0,11,Basic,Monthly,882.0,19.0,1,0.9999999375000038,55.12499655468771,0.4374999726562517,77.0,640,0.4827586385255642,Millennials,622.5
34,Female,23,19.0,7.0,30,Basic,Monthly,273.0,7.0,1,0.8260869206049165,11.869564701323274,0.3043478128544429,210.0,782,0.48965519001189,Millennials,460.5
37,Male,13,23.0,2.0,27,Basic,Quarterly,248.0,16.0,1,1.7692306331361052,19.07692160946757,0.15384614201183525,54.0,481,0.2896551969084415,Millennials,389.5
52,Female,14,23.0,10.0,25,Basic,Quarterly,227.0,,1,1.6428570255102126,16.214284556122532,0.7142856632653098,250.0,728,0.4827586385255642,Gen X,402.0
54,Female,49,,1.0,23,Standard,Annual,668.0,5.0,0,,13.632652783007087,0.020408162848813003,23.0,2646,0.344827608799048,Gen X,962.5
48,Female,51,7.0,6.0,2,Standard,Monthly,155.0,17.0,0,0.1372548992695118,3.0392156266820467,0.11764705651672439,12.0,2448,0.7586206979785965,Gen X,558.0
28,Male,3,5.0,0.0,24,Standard,Monthly,875.0,6.0,0,1.6666661111112961,291.66656944447686,0.0,0.0,84,0.8482758673008323,Millennials,476.5
45,Female,15,5.0,4.0,22,Standard,Annual,394.0,5.0,0,0.3333333111111126,26.266664915555673,0.2666666488888901,88.0,675,0.8413793158145063,Gen X,391.0
18,Female,22,21.0,4.0,30,Premium,Annual,879.0,1.0,0,0.9545454111570267,39.95454363842983,0.18181817355371938,120.0,396,0.5586207048751481,Gen Z,784.5
26,Male,49,4.0,9.0,23,Premium,Annual,687.0,6.0,1,0.08163265139525201,14.020407877134534,0.18367346563931702,207.0,1274,0.8965517277051127,Gen Z,939.5
25,Male,35,18.0,3.0,25,Basic,Annual,777.0,1.0,0,0.5142856995918372,22.199999365714305,0.0857142832653062,75.0,875,0.6068965652794288,Gen Z,806.5
60,Male,21,6.0,9.0,13,Standard,Monthly,602.0,10.0,0,0.28571427210884415,28.666665301587365,0.4285714081632663,117.0,1260,0.6689655286563612,Boomers,576.5
56,Male,23,27.0,,22,Premium,Annual,474.0,9.0,1,1.1739129924385654,20.608694756143706,,,1288,0.2896551969084415,Gen X,604.0
28,Female,30,5.0,1.0,18,Premium,Quarterly,152.0,4.0,1,0.16666666111111128,5.066666497777783,0.033333332222222255,18.0,840,0.9448275881093936,Millennials,391.0
65,Female,38,28.0,3.0,10,Standard,Quarterly,886.0,11.0,0,0.7368420858725767,23.31578886011082,0.07894736634349037,30.0,2470,0.3931034692033286,Boomers,981.5
31,Male,56,,9.0,24,Standard,Annual,633.0,7.0,1,,11.303571226721942,0.16071428284438782,216.0,1736,0.5172413959571933,Millennials,963.0
18,Female,58,15.0,10.0,1,Basic,Quarterly,651.0,29.0,0,0.2586206851961951,11.224137737514868,0.17241379013079672,10.0,1044,0.344827608799048,Gen Z,978.5
26,Male,12,26.0,9.0,27,Premium,Quarterly,825.0,30.0,0,2.166666486111126,68.74999427083381,0.7499999375000053,243.0,312,0.1172414097502962,Gen Z,676.5
42,Male,56,11.0,0.0,15,Standard,Annual,766.0,26.0,0,0.19642856792091845,13.67857118431123,0.0,0.0,2352,0.5172413959571932,Millennials,940.5
27,Female,35,29.0,1.0,25,Basic,Quarterly,628.0,3.0,0,0.8285714048979599,17.942856630204098,0.028571427755102068,25.0,945,0.4068965721759803,Millennials,797.5
41,Male,36,7.0,6.0,15,Standard,Annual,560.0,24.0,0,0.19444443904321004,15.555555123456804,0.16666666203703717,90.0,1476,0.5931034623067771,Millennials,643.0
65,Female,17,24.0,3.0,0,Basic,Monthly,593.0,12.0,0,1.411764622837375,34.882350889273475,0.17647057785467188,0.0,1105,0.2827586454221157,Boomers,614.5
43,Male,35,6.0,6.0,17,Premium,Annual,860.0,27.0,1,0.1714285665306124,24.571427869387776,0.1714285665306124,102.0,1505,0.6482758741973836,Gen X,728.5
26,Male,26,12.0,0.0,29,Premium,Quarterly,495.0,25.0,0,0.4615384437869829,19.038460806213045,0.0,0.0,676,0.3931034692033286,Gen Z,602.5
54,Female,56,7.0,9.0,19,Premium,Annual,665.0,23.0,1,0.12499999776785718,11.874999787946432,0.16071428284438782,171.0,3024,0.5931034623067771,Gen X,899.5
46,Male,50,30.0,0.0,20,Standard,Monthly,587.0,14.0,0,0.5999999880000003,11.739999765200006,0.0,0.0,2300,0.2689655424494641,Gen X,992.0
26,Female,37,22.0,1.0,0,Basic,Annual,955.0,17.0,0,0.5945945785244708,25.81081011322135,0.027027026296566857,0.0,962,0.3586207117716996,Gen Z,933.0
51,Female,9,13.0,6.0,23,Basic,Annual,870.0,11.0,1,1.4444442839506353,96.66665592592713,0.6666665925926009,138.0,459,0.6206896682520804,Gen X,532.0
54,Female,38,28.0,5.0,30,Standard,Annual,717.0,1.0,1,0.7368420858725767,18.868420556094197,0.13157894390581729,150.0,2052,0.4551724325802609,Gen X,834.0
53,Female,51,15.0,10.0,0,Standard,Annual,919.0,28.0,0,0.29411764129181095,18.01960748981162,0.19607842752787397,0.0,2703,0.3655172632580254,Gen X,1058.5
65,Male,47,,7.0,24,Premium,Annual,427.0,8.0,1,,9.085106189678593,0.14893616704391135,168.0,3055,0.6965517346016643,Boomers,760.5
42,Male,59,30.0,4.0,26,Basic,Annual,647.0,17.0,1,0.5084745676529735,10.966101509049128,0.06779660902039646,104.0,2478,0.2620689909631382,Millennials,1054.0
50,Female,47,15.0,0.0,29,Basic,Monthly,757.0,4.0,1,0.31914892937981004,16.106382636034414,0.0,0.0,2350,0.6758620801426869,Gen X,910.5
22,Male,46,12.0,3.0,27,Standard,Monthly,532.0,12.0,0,0.2608695595463139,11.565217139886585,0.06521738988657848,81.0,1012,0.6482758741973836,Gen Z,739.5
40,Female,18,22.0,5.0,13,Premium,Monthly,258.0,8.0,0,1.2222221543209915,14.33333253703708,0.27777776234567986,65.0,720,0.4068965721759803,Millennials,501.0
53,Female,53,25.0,0.0,11,Premium,Annual,185.0,16.0,0,0.47169810430758297,3.490565971876114,0.0,0.0,2809,0.3172414028537447,Gen X,776.5
41,Female,6,16.0,6.0,23,Basic,Monthly,962.0,16.0,1,2.6666662222222963,160.33330661111557,0.9999998333333611,138.0,246,0.4689655355529125,Millennials,638.0
33,Male,26,22.0,8.0,9,Premium,Monthly,377.0,4.0,0,0.8461538136094686,14.499999442307713,0.30769229585798863,72.0,858,0.5379310504161707,Millennials,571.5
